,demand,id,dayIndex,is_holiday,is_closed,weekend,wind,clouds,rain,sunshine,weekday_FRI,weekday_MON,weekday_SAT,weekday_SUN,weekday_THU,weekday_TUE,weekday_WED,month_APR,month_AUG,month_DEC,month_FEB,month_JAN,month_JUL,month_JUN,month_MAR,month_MAY,month_NOV,month_OCT,month_SEP,year_2013,year_2014,year_2015,item_calamari,item_chicken,item_fish,item_koefte,item_lamb,item_shrimp,item_steak,label,scalingValue,demand__sum_values_7,demand__median_7,demand__mean_7,demand__standard_deviation_7,demand__variance_7,demand__root_mean_square_7,demand__maximum_7,demand__absolute_maximum_7,demand__minimum_7,demand__sum_values_14,demand__median_14,demand__mean_14,demand__standard_deviation_14,demand__variance_14,demand__root_mean_square_14,demand__maximum_14,demand__absolute_maximum_14,demand__minimum_14,demand__sum_values_28,demand__median_28,demand__mean_28,demand__standard_deviation_28,demand__variance_28,demand__root_mean_square_28,demand__maximum_28,demand__absolute_maximum_28,demand__minimum_28
0,0.0,calamari,29.0,1.0,0.0,0.0,2.6,7.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.3999999999999997,0.2,0.19999999999999996,0.052372293656638175,0.0027428571428571432,0.2067434573157205,0.32,0.32,0.16,3.0800000000000005,0.2,0.22000000000000003,0.07050835816716038,0.004971428571428572,0.23102257156266912,0.4,0.4,0.12,5.880000000000001,0.2,0.21000000000000002,0.08044518985886336,0.0064714285714285716,0.22488092087019873,0.4,0.4,0.04
1,1.0,calamari,30.0,0.0,0.0,1.0,4.4,7.1,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.1999999999999997,0.16,0.1714285714285714,0.08741176309016202,0.007640816326530612,0.19242809417694556,0.32,0.32,0.0,2.8000000000000007,0.2,0.20000000000000004,0.08815570640309436,0.007771428571428572,0.2185667599874889,0.4,0.4,0.0,5.640000000000001,0.2,0.20142857142857146,0.08911125813571825,0.007940816326530613,0.22025958711094898,0.4,0.4,0.0
2,0.12,calamari,31.0,0.0,0.0,1.0,4.8,3.0,0.0,258.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,2.04,0.2,0.2914285714285714,0.30215552151776653,0.09129795918367348,0.4197958687607245,1.0,1.0,0.0,3.4000000000000004,0.2,0.24285714285714288,0.22088874288811977,0.04879183673469388,0.3282855899539737,1.0,1.0,0.0,6.32,0.2,0.22571428571428573,0.17211766264947467,0.029624489795918366,0.28385106758902384,1.0,1.0,0.0
3,0.0,calamari,32.0,0.0,0.0,0.0,5.1,7.6,0.1,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.8400000000000003,0.16,0.2628571428571429,0.30751140679025624,0.09456326530612245,0.40454560046692245,1.0,1.0,0.0,3.2800000000000002,0.2,0.2342857142857143,0.22314999074019012,0.04979591836734694,0.3235517181003901,1.0,1.0,0.0,6.2,0.2,0.22142857142857145,0.1731991893274142,0.029997959183673473,0.2811202081469268,1.0,1.0,0.0
4,0.08,calamari,33.0,0.0,0.0,0.0,3.5,4.4,0.3,314.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.6400000000000001,0.16,0.2342857142857143,0.3210187864043003,0.1030530612244898,0.3974202525574875,1.0,1.0,0.0,3.08,0.18,0.22,0.2311462122306386,0.05342857142857143,0.3191058937540506,1.0,1.0,0.0,6.04,0.2,0.21571428571428572,0.17771221863749612,0.03158163265306122,0.2794893302333485,1.0,1.0,0.0
5,0.28,calamari,34.0,0.0,0.0,0.0,2.8,7.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.52,0.12,0.21714285714285714,0.32556387504557976,0.10599183673469388,0.39133471241746126,1.0,1.0,0.0,3.04,0.18,0.21714285714285714,0.2326072278519728,0.05410612244897959,0.3182092752531624,1.0,1.0,0.0,5.84,0.2,0.20857142857142857,0.17899948694488096,0.03204081632653061,0.2748506087729426,1.0,1.0,0.0
6,0.2,calamari,35.0,0.0,0.0,0.0,4.0,6.8,0.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.64,0.12,0.23428571428571426,0.3252628450458904,0.10579591836734693,0.4008562264524705,1.0,1.0,0.0,3.12,0.18,0.22285714285714286,0.23309803490709874,0.05433469387755103,0.322490309931942,1.0,1.0,0.0,5.840000000000001,0.2,0.2085714285714286,0.17899948694488096,0.032040816326530615,0.2748506087729426,1.0,1.0,0.0
7,0.28,calamari,36.0,0.0,0.0,0.0,2.2,7.9,3.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.6800000000000002,0.12,0.24000000000000002,0.32425739335111103,0.10514285714285714,0.4034140021650923,1.0,1.0,0.0,3.08,0.18,0.22,0.23311554461866577,0.054342857142857144,0.3205352666132966,1.0,1.0,0.0,5.920000000000001,0.2,0.21142857142857147,0.17819961290871628,0.03175510204081632,0.2765088477013762,1.0,1.0,0.0
8,0.32,calamari,37.0,0.0,0.0,1.0,3.7,3.2,0.0,151.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.9600000000000002,0.2,0.28,0.3091000762582519,0.09554285714285715,0.41706457191046226,1.0,1.0,0.0,3.160000000000001,0.18,0.22571428571428578,0.23353538385050795,0.05453877551020409,0.32478564359545553,1.0,1.0,0.0,6.000000000000001,0.2,0.21428571428571433,0.178634274655321,0.03191020408163266,0.27897772568535184,1.0,1.0,0.0
9,0.24,calamari,38.0,0.0,0.0,1.0,3.9,7.7,16.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train,25.0,1.28,0.2,0.18285714285714286,0.11080411102665895,0.012277551020408164,0.2138089935299395,0.32,0.32,0.0,3.3200000000000007,0.2,0.23714285714285718,0.23395446966782024,0.054734693877551026,0.3331237436320452,1.0,1.0,0.0,6.120000000000001,0.2,0.2185714285714286,0.17967658019170935,0.03228367346938776,0.28294370969707533,1.0,1.0,0.0
